source,checked_date,extension_identifier,msft_classification_type,exists_in_dataset
removed_list,2025-09-21,duailibe.miniprettier,Typo-squatting,yes
removed_list,2025-09-21,dotatong.wt-prettier-vscode,Typo-squatting,yes
removed_list,2025-09-21,nkurasawa.vscode-ignore-prettier,Typo-squatting,yes
removed_list,2025-09-21,hyperproof.vscode-ext-prettier-java,Typo-squatting,yes
removed_list,2025-09-21,publishingsofficial.prettier-plus-vscode,Typo-squatting,yes
removed_list,2025-09-21,johnhtml.dasfasdsadasdf,Malware,no
removed_list,2025-09-21,outthaway.sol2-lang,Malware,yes
removed_list,2025-09-21,johnh.solibit22-lang,Malware,yes
removed_list,2025-09-21,EHooley.solibity-lang,Malware,yes
removed_list,2025-09-21,Solid.dolibity-slang,Malware,yes
removed_list,2025-09-21,VitalikBut.bolibity-slang,Malware,yes
removed_list,2025-09-21,VitalikB.solidit-lang,Malware,yes
removed_list,2025-09-21,SoliditFoundation.solidits-language,Malware,yes
removed_list,2025-09-21,MarkHutchins.markdown-preview-vs,Malware,no
removed_list,2025-09-21,HTMLLanguage.html-css-support,Malware,yes
removed_list,2025-09-21,0xS1rx58D3V.ChatGPT-B0T,Malware,yes
removed_list,2025-09-21,VKTeam.com,Malware,yes
removed_list,2025-10-15,VSAnalysistest.global-state-test,Malware,yes
removed_list,2025-10-15,VSAnalysistest.discord-helper-test,Malware,yes
removed_list,2025-10-15,VSAnalysistest.clipboard-helper-vscode,Malware,yes
removed_list,2025-10-15,VSAnalysistest.mycodegpt-assistant,Malware,yes
removed_list,2025-10-15,automated1ogic.automated1ogic,Malware,yes
removed_list,2025-10-15,dontdownloadthis.dontdownloadthis,Malware,yes
removed_list,2025-10-15,webctrl.live,Malware,yes
removed_list,2025-10-15,automatedlogic.automatedlogic,Malware,yes
removed_list,2025-10-15,Extensions-Genre.bold-start,Malware,yes
removed_list,2025-10-15,498-00.pythonformat,Malware,yes
removed_list,2025-10-15,498-00.cppformat,Malware,yes
removed_list,2025-10-15,Wumpus.bold-end,Malware,no
removed_list,2025-10-15,beisen.codecake,Malware,yes
removed_list,2025-10-15,Sayantan710.ollot,Malware,yes
removed_list,2025-10-15,RachelFront.asdtif,Malware,yes
removed_list,2025-10-15,ReadMeAI.readmeai,Typo-squatting,yes
removed_list,2025-10-15,Extensions-Topic.portugese,Malware,yes
removed_list,2025-10-15,Extensions-Topic.german,Malware,yes
removed_list,2025-10-15,Extensions-Topic.coffeescript,Malware,yes
removed_list,2025-10-15,Extensions-Topic.polish,Malware,yes
removed_list,2025-10-15,Extensions-Topic.italian,Malware,yes
removed_list,2025-10-15,Extensions-Topic.bulgarian,Malware,yes
removed_list,2025-10-15,Extensions-Topic.korean,Malware,yes
removed_list,2025-10-15,RileyMoore.stdrlabs-ext,Malware,yes
removed_list,2025-10-15,AIClaude.claude-code-master,Typo-squatting,yes
removed_list,2025-10-15,zhucan.debug-cline,Typo-squatting,yes
removed_list,2025-10-15,sunamo-cz.specstory-autosave,Typo-squatting,yes
removed_list,2025-10-15,498-00.cppplayground,Malware,yes
malicious_list,2025-10-15,vkteam.com,Malicious,yes
malicious_list,2025-10-15,guozebin.api-generator-plugin,Malicious,yes
removed_list,2025-10-20,PriyanshuMallick.clipboard-history-manager,Malware,no
removed_list,2025-10-20,WEB3Foundation.cxzczxcxz,Malware,yes
removed_list,2025-10-20,cline-ai-main.cline-ai-agent,Malware,yes
removed_list,2025-10-20,labfile.labfile,Malware,no
removed_list,2025-10-21,BenjaminFriedl.lexica-img-fix,Malware,yes
