captured_date,source,msft_classification_type,extension_identifier,publisher_name,version,artifact,sha256,size_mb,published_date,last_updated_date,verified_publisher,installation_count,average_rating,rating_count,categories,repository_url,flags,engines_vscode,exists_in_dataset
2025-09-25,malicious_list,Malicious,ZoomWorkspace.Zoom,ZoomWorkspace,0.2.0,ZoomWorkspace.Zoom-0.2.0.vsix,fa952bd3dc17ed11bf3e70077acd45969425648e8d6ebf9ebf28f6f66cd94375,0.05,2024-10-09,unknown,unknown,2300000,4.6,10,Other,none,unknown,>=1.70.0,RL
2025-10-20,removed_list,Malware,WEB3Foundation.cxzczxcxz,WEB3Foundation,0.2.1,WEB3Foundation.cxzczxcxz-0.2.1.vsix,6bb07a147e5d79093db9f2a516883a7572c752b912accbe0efdb2b2ae9b6f81b,4.75,2025-10-19,2025-10-19,false,null,null,null,Other,https://github.com/zxczcxzcz,validated;public,^1.104.0,vsmex
2025-10-20,removed_list,Malware,cline-ai-main.cline-ai-agent,cline-ai-main,3.1.3,cline-ai-main.cline-ai-agent-3.1.3.vsix,a9f9ccce0130896ca90040a925dd814a26f7cf897fc6099d08b43e2cedd79658,0.52,2025-10-15,2025-10-15,false,5,null,null,Programming Languages;Snippets;Education;Testing;AI;Chat,https://github.com/cline/cline.git,validated;public,^1.73.0,vsmex
2025-10-21,removed_list,Malware,BenjaminFriedl.lexica-img-fix,BenjaminFriedl,0.0.1,BenjaminFriedl.lexica-img-fix-0.0.1.vsix,796f1ff15b97bfcc0e0c7e148e7814d5001acfa28ee4f6a47a89db4b6661f69b,0.01,2025-10-20,2025-10-20,false,null,null,null,Other,none,validated;public,^1.105.0,vsmex
2025-10-25,removed_list,Malware,EricWrite.dsafsadas,EricWrite,0.2.1,EricWrite.dsafsadas-0.2.1.vsix,4141ed9f510c85d9517389f3342538bc2fafeaec5cd8f3702b15b405b57b1d7f,4.69,2025-10-19,2025-10-19,false,null,null,null,Other,https://github.com/ssas,validated;public,^1.104.0,vsmex
2025-10-25,removed_list,Impersonation,plugin-manager.vscode-notes-manager,plugin-manager,2.0.1,plugin-manager.vscode-notes-manager-2.0.1.vsix,37a0cb6ef117053a9ba53a74e112a6737f15aa77056f572bc7c9697c026a201d,0.23,2025-07-28,2025-07-28,false,13,null,null,Other,https://github.com/kerrycheng99/vscode-notes.git,validated;public,^1.87.0,vsmex
2025-10-28,removed_list,Impersonation,StackspotPlatform.StackSpot,StackspotPlatform,2.5.7,StackspotPlatform.StackSpot-2.5.7.vsix,854b6fea73934ab151dc2f5e927b6f6cec556a32a62c78feee6a1c06c5fe845c,3.62,2025-09-09,2025-09-09,false,7,null,null,Other,none,validated;public,^1.74.0,vsmex
2025-10-29,removed_list,Malware,me80758262.piiithon-linter,me80758262,0.0.7,me80758262.piiithon-linter-0.0.7.vsix,d2265071f2ea8c887b086f5af34da5c4bf5a3da0f9221b2ba7badd59f7b6937a,0.01,2025-10-24,2025-10-24,false,null,null,null,Other,https://github.com/piiithon-linter/piiithon-linter.git,validated;public,>=1.60.0,vsmex
2025-10-30,removed_list,Malware,Extensions-A.wow1language,Extensions-A,0.0.1,Extensions-A.wow1language-0.0.1.vsix,af8c1b12d4f4ef1d7922b11147a10c299370545a64a080c4373a134cff848251,0.02,2025-10-29,2025-10-29,false,10322,null,null,Other,none,validated;public,^1.0.0,vsmex
2025-10-30,removed_list,Impersonation,esbenpp.pretier-vscodee,esbenpp,11.0.1,esbenpp.pretier-vscodee-11.0.1.vsix,6b7150bcf17737f0fd4e195784dec8acb21ed2a990aeca4c86dbda7dcbd4294a,3.03,2025-09-11,2025-09-12,false,1245,null,null,Formatters,https://github.com/prettier/prettier-vscode.git,validated;public,^1.80.0,vsmex
2025-10-30,removed_list,Impersonation,jinyang.copilot-mcp-zh-cn,jinyang,0.0.50,jinyang.copilot-mcp-zh-cn-0.0.50.vsix,7a0948a30e7317cb098f59be8f5a855eccb1cc60cee5306df9876b0d836d79fc,6.12,2025-07-01,2025-07-02,false,76,null,null,Machine Learning;AI;Chat,https://gitee.com/binote/copilot-mcp,validated;public,^1.99.0,vsmex
